Hour,Bid Price ($/MWh),Bid Amount(MWh)
1,45.98,67.48173
1,42.81,60.37839
1,46.74,111.877605
1,51.12,46.17171
1,42.33,44.395875
1,42.33,85.24008
1,51.4,78.13674
1,47.34,106.5501
1,41.15,108.325935
1,46.21,120.75678
1,41.18,165.152655
1,41.17,120.75678
1,44.71,197.117685
1,33.93,62.154225
1,34.88,207.772695
1,40.76,113.65344
1,34.12,79.912575
2,37.89,63.45297
2,42.67,56.77371
2,38.69,105.198345
2,36.44,43.41519
2,43.07,41.745375
2,36.96,80.15112
2,34.44,73.47186
2,48.83,100.1889
2,40.37,101.858715
2,41.84,113.54742
2,34.38,155.292795
2,38.78,113.54742
2,42.05,185.349465
2,35.75,58.443525
2,43.38,195.368355
2,38.5,106.86816
2,40.04,75.141675
3,36.99,60.4314
3,49.26,54.0702
3,39.93,100.1889
3,34.71,41.3478
3,44.11,39.7575
3,33.9,76.3344
3,41.04,69.9732
3,30.2,95.418
3,33.36,97.0083
3,40.98,108.1404
3,43.69,147.8979
3,40.86,108.1404
3,39.42,176.5233
3,38.49,55.6605
3,32.61,186.0651
3,41.87,101.7792
3,42.67,71.5635
4,34.53,59.42421
4,38.91,53.16903
4,35.9,98.519085
4,37.2,40.65867
4,44.79,39.094875
4,41.22,75.06216
4,30.68,68.80698
4,41.12,93.8277
4,37.57,95.391495
4,36.12,106.33806
4,42.56,145.432935
4,44.65,106.33806
4,44.16,173.581245
4,35.3,54.732825
4,37.95,182.964015
4,41.16,100.08288
4,44.38,70.370775
5,37.1,59.42421
5,38.57,53.16903
5,33.97,98.519085
5,33.52,40.65867
5,43.56,39.094875
5,46.28,75.06216
5,39.14,68.80698
5,44.52,93.8277
5,41.31,95.391495
5,36.27,106.33806
5,41.31,145.432935
5,47.19,106.33806
5,39.32,173.581245
5,47.32,54.732825
5,26.4,182.964015
5,52.87,100.08288
5,58.45,70.370775
6,43.76,60.4314
6,46.36,54.0702
6,44.11,100.1889
6,40.44,41.3478
6,38.5,39.7575
6,40.46,76.3344
6,30.06,69.9732
6,38.9,95.418
6,41.79,97.0083
6,47.39,108.1404
6,37.41,147.8979
6,35.96,108.1404
6,37.49,176.5233
6,44.58,55.6605
6,41.64,186.0651
6,37.35,101.7792
6,42.57,71.5635
7,47.49,74.53206
7,51.84,66.68658
7,43.49,123.56631
7,45.36,50.99562
7,45.04,49.03425
7,39.68,94.14576
7,48.48,86.30028
7,48.31,117.6822
7,47.03,119.64357
7,45.83,133.37316
7,39.92,182.40741
7,44.9,133.37316
7,45.29,217.71207
7,42.99,68.64795
7,46.19,229.48029
7,59.65,125.52768
7,58.42,88.26165
8,55.02,86.61834
8,62.43,77.50062
8,53.87,143.60409
8,54.29,59.26518
8,52.63,56.98575
